Trials this experiment will run for: 100
-------------------------------------------
Weak Collision Trial 75, Attempts: 30594722
Strong Collision Trial 75, Attempts: 6302
Weak Collision Trial 76, Attempts: 7806317
Strong Collision Trial 76, Attempts: 3834
Weak Collision Trial 77, Attempts: 4752250
Strong Collision Trial 77, Attempts: 2443
Weak Collision Trial 78, Attempts: 22557863
Strong Collision Trial 78, Attempts: 8954
Weak Collision Trial 79, Attempts: 10019836
Strong Collision Trial 79, Attempts: 6511
Weak Collision Trial 80, Attempts: 70827713
Strong Collision Trial 80, Attempts: 3322
Weak Collision Trial 81, Attempts: 23033917
Strong Collision Trial 81, Attempts: 5619
Weak Collision Trial 82, Attempts: 2207040
Strong Collision Trial 82, Attempts: 5825
Weak Collision Trial 83, Attempts: 33249424
Strong Collision Trial 83, Attempts: 2615
Weak Collision Trial 84, Attempts: 8078013
Strong Collision Trial 84, Attempts: 2185
Weak Collision Trial 85, Attempts: 57675561
Strong Collision Trial 85, Attempts: 2315
Weak Collision Trial 86, Attempts: 6924005
Strong Collision Trial 86, Attempts: 4052
Weak Collision Trial 87, Attempts: 43806276
Strong Collision Trial 87, Attempts: 6686
Weak Collision Trial 88, Attempts: 24490410
Strong Collision Trial 88, Attempts: 2953
Weak Collision Trial 89, Attempts: 17534878
Strong Collision Trial 89, Attempts: 4836
Weak Collision Trial 90, Attempts: 3595566
Strong Collision Trial 90, Attempts: 4205
Weak Collision Trial 91, Attempts: 834403
Strong Collision Trial 91, Attempts: 733
Weak Collision Trial 92, Attempts: 26930137
Strong Collision Trial 92, Attempts: 3630
Weak Collision Trial 93, Attempts: 3084361
Strong Collision Trial 93, Attempts: 8167
Weak Collision Trial 94, Attempts: 51097705
Strong Collision Trial 94, Attempts: 1015
Weak Collision Trial 95, Attempts: 22537454
Strong Collision Trial 95, Attempts: 3836
Weak Collision Trial 96, Attempts: 30618894
Strong Collision Trial 96, Attempts: 10204
Weak Collision Trial 97, Attempts: 28297420
Strong Collision Trial 97, Attempts: 3788
Weak Collision Trial 98, Attempts: 13476601
Strong Collision Trial 98, Attempts: 10743
Weak Collision Trial 99, Attempts: 9266286
Strong Collision Trial 99, Attempts: 2957
Weak Collision Trial 100, Attempts: 11757921
Strong Collision Trial 100, Attempts: 6853
